artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,0DBb4vItW595Mljc7vXaVu,https://api.spotify.com/v1/audio-analysis/0DBb4vItW595Mljc7vXaVu,4,,,1,202133,FALSE,https://api.spotify.com/v1/tracks/0DBb4vItW595Mljc7vXaVu,FALSE,Sand In My Boots,NA,1,track,spotify:track:0DBb4vItW595Mljc7vXaVu,https://open.spotify.com/track/0DBb4vItW595Mljc7vXaVu,Dangerous: The Double Album (Bonus),D#,major,D# major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196,6DLPQYXXbzKbtD9WbCXpI3,https://api.spotify.com/v1/audio-analysis/6DLPQYXXbzKbtD9WbCXpI3,3,,,1,178520,FALSE,https://api.spotify.com/v1/tracks/6DLPQYXXbzKbtD9WbCXpI3,FALSE,Wasted On You,NA,2,track,spotify:track:6DLPQYXXbzKbtD9WbCXpI3,https://open.spotify.com/track/6DLPQYXXbzKbtD9WbCXpI3,Dangerous: The Double Album (Bonus),B,minor,B minor
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.658,0.538,5,-7.676,1,0.0289,0.657,0,0.123,0.62,136.967,7JMUrvUgRCG7HNEywaQcXj,https://api.spotify.com/v1/audio-analysis/7JMUrvUgRCG7HNEywaQcXj,4,,,1,161773,FALSE,https://api.spotify.com/v1/tracks/7JMUrvUgRCG7HNEywaQcXj,FALSE,Somebody’s Problem,NA,3,track,spotify:track:7JMUrvUgRCG7HNEywaQcXj,https://open.spotify.com/track/7JMUrvUgRCG7HNEywaQcXj,Dangerous: The Double Album (Bonus),F,major,F major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.516,0.748,6,-6.049,1,0.0289,0.241,0,0.123,0.433,85.004,1jtL6s91qY9BF0gIZoS6gq,https://api.spotify.com/v1/audio-analysis/1jtL6s91qY9BF0gIZoS6gq,4,,,1,157440,FALSE,https://api.spotify.com/v1/tracks/1jtL6s91qY9BF0gIZoS6gq,FALSE,More Surprised Than Me,NA,4,track,spotify:track:1jtL6s91qY9BF0gIZoS6gq,https://open.spotify.com/track/1jtL6s91qY9BF0gIZoS6gq,Dangerous: The Double Album (Bonus),F#,major,F# major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.532,0.584,8,-5.254,1,0.0248,0.723,0,0.101,0.367,88.003,1HONerjyVg01NgExNFPhtP,https://api.spotify.com/v1/audio-analysis/1HONerjyVg01NgExNFPhtP,4,,,1,190680,FALSE,https://api.spotify.com/v1/tracks/1HONerjyVg01NgExNFPhtP,FALSE,865,NA,5,track,spotify:track:1HONerjyVg01NgExNFPhtP,https://open.spotify.com/track/1HONerjyVg01NgExNFPhtP,Dangerous: The Double Album (Bonus),G#,major,G# major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.633,0.664,10,-5.037,1,0.0294,0.46,0,0.108,0.268,115.058,0Nd1O1ML3NNvEOXjVp28Jm,https://api.spotify.com/v1/audio-analysis/0Nd1O1ML3NNvEOXjVp28Jm,4,,,1,156746,FALSE,https://api.spotify.com/v1/tracks/0Nd1O1ML3NNvEOXjVp28Jm,FALSE,Warning,NA,6,track,spotify:track:0Nd1O1ML3NNvEOXjVp28Jm,https://open.spotify.com/track/0Nd1O1ML3NNvEOXjVp28Jm,Dangerous: The Double Album (Bonus),A#,major,A# major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.576,0.843,11,-5.26,0,0.029,0.0214,8.04e-5,0.157,0.628,126.009,5sa8bA01qZbhw9Ktxd1W2T,https://api.spotify.com/v1/audio-analysis/5sa8bA01qZbhw9Ktxd1W2T,4,,,1,226146,TRUE,https://api.spotify.com/v1/tracks/5sa8bA01qZbhw9Ktxd1W2T,FALSE,Neon Eyes,NA,7,track,spotify:track:5sa8bA01qZbhw9Ktxd1W2T,https://open.spotify.com/track/5sa8bA01qZbhw9Ktxd1W2T,Dangerous: The Double Album (Bonus),B,minor,B minor
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.505,0.63,7,-5.758,1,0.0274,0.572,0,0.121,0.247,85.036,39j8ZzWl4YS35OyMeJEswx,https://api.spotify.com/v1/audio-analysis/39j8ZzWl4YS35OyMeJEswx,4,,,1,229746,FALSE,https://api.spotify.com/v1/tracks/39j8ZzWl4YS35OyMeJEswx,FALSE,Outlaw (feat. Ben Burgess),NA,8,track,spotify:track:39j8ZzWl4YS35OyMeJEswx,https://open.spotify.com/track/39j8ZzWl4YS35OyMeJEswx,Dangerous: The Double Album (Bonus),G,major,G major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.443,0.518,2,-6.373,1,0.0266,0.603,0.00225,0.0984,0.323,185.764,6AjPoqyODR5vJxx4dPcked,https://api.spotify.com/v1/audio-analysis/6AjPoqyODR5vJxx4dPcked,3,,,1,180786,FALSE,https://api.spotify.com/v1/tracks/6AjPoqyODR5vJxx4dPcked,FALSE,Whiskey’d My Way,NA,9,track,spotify:track:6AjPoqyODR5vJxx4dPcked,https://open.spotify.com/track/6AjPoqyODR5vJxx4dPcked,Dangerous: The Double Album (Bonus),D,major,D major
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6LBPsXUjVuNe9ywLY4xgvX,album,,2021-01-29,2021,day,0.481,0.715,6,-5.626,1,0.0334,0.244,0,0.133,0.395,90.966,7rvp6U4pTZI2TcibwdzB4Y,https://api.spotify.com/v1/audio-analysis/7rvp6U4pTZI2TcibwdzB4Y,4,,,1,182226,FALSE,https://api.spotify.com/v1/tracks/7rvp6U4pTZI2TcibwdzB4Y,FALSE,Wonderin’ Bout The Wind,NA,10,track,spotify:track:7rvp6U4pTZI2TcibwdzB4Y,https://open.spotify.com/track/7rvp6U4pTZI2TcibwdzB4Y,Dangerous: The Double Album (Bonus),F#,major,F# major
